S. No.,Zone,Phase,Cycle,UPC,Unnamed: 5,Survey_UPC,Project Name,Start Chainage,End Chainage,Start Lat,Start Long,End Lat,End Long
376,B,Phase 1,Cycle 1,N_04003_11007_RJ,N/04003/11007/RJ,,Rasisar (near Bikaner)-Deogarh (near Dhandhaniya) (Phase-I) (AJ/RD- Package-6),148000,177720,26.5630799363333,72.7177923236667,26.3194785383333,72.5973610865
377,B,Phase 1,Cycle 1,N_04003_12002_RJ,N/04003/12002/RJ,,Deogarh (near Dhandhaniya)- Rajasthan/Gujarat Border (Phase-I) (AJ/DRGB-Package-1),-1155,21005,26.3200307485,72.597668835,26.1567676281667,72.474786186
378,B,Phase 1,Cycle 1,N_04003_12003_RJ,N/04003/12003/RJ,,Deogarh (near Dhandhaniya)- Rajasthan/Gujarat Border (Phase-I) (AJ/DRGB-Package-2),21000,48000,26.1568592423333,72.4748531408333,25.9360730066667,72.3947607763333
379,B,Phase 1,Cycle 1,N_03004_03001_RJ,N/03004/03001/RJ,,"Four laning of Gomti Chaurah - Udaipur Section of NH-8 ( From km 177.000 to km 260+100 ) in the state of Rajasthan under NHDP Phase IV on Design,Build , Finance, Operate & Transfer ( Toll ) basis NH-8 ( new NH-58 )",177000,256310,25.282068776,73.7847424051667,24.6566368578333,73.7206075941667
380,B,Phase 1,Cycle 1,N_02001_08001_RJ,N/02001/08001/RJ,,Udaipur Bypass section of NH-48,0,22890,24.6030114838333,73.7808376646667,24.4624108946667,73.6574112035
381,B,Phase 1,Cycle 1,N_06015_01001_RJ,N/06015/01001/RJ,,Rajsamand-Bhilwara,0,87300,25.0285585498333,73.8605017528333,25.3066432443333,74.5624241318333
382,B,Phase 1,Cycle 1,N_06015_01004_RJ,N/06015/01004/RJ,N_06015_01002_RJ,Bhilwara-Ladpura section of NH-758,87200,155300,25.418611406,74.6108628358333,25.1462620088333,75.1158251853333
383,B,Phase 1,Cycle 1,N_04003_12004_RJ,N/04003/12004/RJ,,Deogarh (near Dhandhaniya)-Rajasthan/Gujarat Border (Phase-I) (AJ/DRGB-Package-3),48000,72000,25.9361385778333,72.3948800008333,25.744004015,72.294733364
384,B,Phase 1,Cycle 1,N_04003_12005_RJ,N/04003/12005/RJ,,Deogarh (near Dhandhaniya)-Rajasthan/Gujarat Border (Phase-I) (AJ/DRGB-Package-4),72000,97000,25.744474445,72.2949318928333,25.5458446908333,72.1881522148333
385,B,Phase 1,Cycle 1,N_04003_12006_RJ,N/04003/12006/RJ,,Deogarh (near Dhandhaniya)-Rajasthan/Gujarat Border (Phase-I) (AJ/DRGB-Package-5),97000,125000,25.5458172058333,72.1881420223333,25.3168841673333,72.074882753
